,target
0,1
1,1
2,0
3,1
4,0
5,1
6,0
7,0
8,1
9,0
10,1
11,0
12,1
13,1
14,0
15,0
16,0
17,1
18,1
19,0
20,0
21,0
22,0
23,0
24,0
25,1
26,1
27,1
28,0
29,0
30,0
31,1
32,0
33,1
34,1
35,1
36,0
37,1
38,1
39,1
40,0
41,0
42,1
43,0
44,0
45,0
46,0
47,0
48,0
49,1
50,1
51,0
52,0
53,0
54,1
55,1
56,0
57,0
58,0
59,1
60,1
61,1
62,0
63,1
64,0
65,0
66,1
67,0
68,0
69,1
70,0
71,0
72,0
73,1
74,1
75,1
76,0
77,0
78,0
79,1
80,0
81,0
82,0
83,0
84,1
85,0
86,1
87,0
88,0
89,0
90,0
91,0
92,1
93,1
94,1
95,1
96,0
97,0
98,0
99,0
100,1
101,0
102,0
103,1
104,0
105,1
106,0
107,1
108,0
109,1
110,0
111,1
112,1
113,0
114,1
115,1
116,0
117,1
118,1
119,0
120,1
121,1
122,0
123,0
124,1
125,0
126,1
127,0
128,0
129,1
130,1
131,0
132,1
133,1
134,0
135,1
136,0
137,1
138,1
139,0
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,0
149,0
150,0
151,0
152,1
153,1
154,0
155,0
156,0
157,1
158,0
159,0
160,1
161,1
162,0
163,0
164,1
165,1
166,0
167,0
168,1
169,1
170,0
171,1
172,1
173,0
174,1
175,1
176,1
177,0
178,0
179,1
180,1
181,0
182,1
183,0
184,1
185,1
186,1
187,0
188,1
189,1
190,1
191,0
192,0
193,0
194,0
195,1
196,0
197,0
198,1
199,1
200,1
201,1
202,1
203,0
204,0
